Snapshot = 0 .,Track_ID,x,y,z
,33,-511.417574,601.202373,689.73886
,34,-512.189115,602.217774,725.026618
,35,-512.045447,602.302953,760.07925
,37,-512.442125,603.254337,830.4593
,38,-479.678122,608.743849,620.584646
,39,-478.611967,608.601347,655.410486
,42,-478.361095,608.912291,760.55622
,43,-476.864504,607.697315,794.606145
,46,-718.591936,576.575808,693.692204
,47,-683.477898,578.703535,728.192436
,49,-682.159219,578.506876,797.876944
,50,-681.668529,578.454108,832.649128
,51,-563.233799,594.413873,868.478898
,52,-514.808824,603.490072,620.505715
,58,-565.894279,594.37863,692.184031
,59,-545.998889,596.653026,795.683451
,62,-685.00504,579.044891,623.614933
,63,-580.676645,591.886328,656.745468
,68,-720.667813,577.337643,623.874942
,69,-613.914563,586.355158,726.782357
,71,-476.627755,608.027755,829.546798
,72,-682.622552,578.535677,762.994281
Snapshot = 14 .,Track_ID,x,y,z
,2,-685.626233,579.631618,658.690951
,3,-683.019314,578.325548,692.923898
,4,-650.305538,582.475134,623.024817
,5,-650.618898,582.883672,657.747954
,6,-650.597207,583.248495,692.864575
,8,-645.403865,580.329048,761.726176
,9,-647.801961,582.164996,797.458853
,10,-647.413475,582.368681,832.268308
,12,-614.940183,586.490467,656.8785
,13,-615.236824,587.086748,691.942964
,15,-612.664649,585.856664,761.454058
,16,-613.632308,586.859789,796.877958
,17,-613.567931,587.121298,831.943144
,22,-578.774321,591.183261,761.474055
,23,-579.630291,592.189913,796.950945
,24,-578.493482,591.7075,831.39852
,25,-547.620736,596.229963,621.112328
,26,-546.961396,595.995339,656.075477
,27,-546.314693,596.01764,690.565045
,29,-546.053101,596.307866,760.523837
,31,-546.241914,596.975329,830.993204
,32,-513.014967,602.128818,655.3941
,33,-511.565686,601.339349,689.77802
,34,-512.123572,602.157951,725.009787
,35,-512.023493,602.287317,760.045145
,37,-512.069429,602.91712,830.233618
,38,-479.679303,608.731795,620.57287
,39,-478.505167,608.496088,655.368327
,42,-478.124971,608.677,760.443518
,43,-477.004951,607.853481,794.68463
,46,-718.768377,576.682705,693.722643
,47,-683.362974,578.639325,728.160775
,49,-682.134557,578.501877,797.862558
,50,-681.536664,578.380816,832.565254
,52,-514.948855,603.609329,620.502883
,58,-566.088966,594.509384,692.201306
,59,-546.050074,596.69599,795.701336
,62,-684.978239,579.030504,623.600714
,63,-580.7532,591.949345,656.753744
,68,-720.64465,577.324006,623.874609
,69,-614.017433,586.441864,726.812463
,71,-477.142593,608.53808,829.851465
,72,-682.771553,578.633048,763.042772
,73,-647.691481,581.577601,727.474343
Snapshot = 15 .,Track_ID,x,y,z
,2,-685.45993,579.523249,658.683175
,3,-683.139737,578.401618,692.954948
,5,-650.238578,582.605055,657.696408
,6,-649.839455,582.782773,692.696106
,8,-645.879001,580.658906,761.896312
,9,-647.833761,582.186158,797.470129
,10,-646.75751,581.926872,831.978138
,12,-615.616673,586.992599,657.018752
,13,-615.124595,587.012289,691.930244
,16,-613.556571,586.797689,796.851462
,17,-613.730318,587.235305,832.037793
,22,-578.694057,591.120827,761.45167
,23,-579.456434,592.065241,796.872403
,24,-578.600324,591.798955,831.458231
,25,-547.504743,596.13548,621.117772
,26,-546.921806,595.958179,656.070645
,27,-546.380223,596.072075,690.582931
,29,-546.329801,596.548433,760.646259
,31,-546.323955,597.050649,831.051971
,32,-512.980556,602.100823,655.395155
,33,-512.26899,601.98276,689.974762
,34,-512.062236,602.101878,725.000733
,35,-511.876019,602.167727,760.002709
,37,-511.595125,602.469617,829.957335
,38,-479.794351,608.844636,620.595033
,39,-478.413864,608.438959,655.37377
,42,-478.229175,608.782286,760.497675
,43,-477.321547,608.168424,794.858766
,46,-718.466376,576.500904,693.675374
,47,-683.155289,578.498239,728.11084
,49,-681.941619,578.373206,797.789905
,50,-681.441709,578.32091,832.534648
,52,-514.72602,603.3977,620.501938
,58,-565.75572,594.220186,692.103712
,59,-546.052699,596.69238,795.705724
,62,-684.545317,578.761636,623.566775
,63,-581.362174,592.445117,656.884387
,68,-720.666785,577.334949,623.896827
,69,-613.934753,586.389874,726.793077
,71,-477.086992,608.4872,829.835523
,72,-682.653241,578.557117,763.011056
